,latitude,longitude,overall_avg_temp
0,28.33,82.6,14.811074606433952
1,27.3293889,92.4360113,9.641745379876797
2,27.4177713,92.2255891,9.641745379876797
3,27.3688993,92.2394672,9.641745379876797
4,19.6297,-155.43,18.437775496235457
5,-4.69057,145.975,28.425338809034905
6,39.9385466,116.1172766,11.861409993155373
7,28.85032,112.943344,18.187111567419574
8,23.666667,116.633333,22.771108829568785
9,30.605768,103.970947,17.139062286105407
10,26.08904,119.294243,19.780588637919234
11,23.1253503,112.9476548,23.3117453798768
12,31.873593,117.223663,16.87265571526352
13,36.690777,116.997299,13.283456536618752
14,25.049711,102.72274,15.711519507186857
15,24.3522958,115.8903375,20.9050855578371
16,28.706609,115.857468,18.78343600273785
17,41.8049906,123.1563167,7.908959616700891
18,31.3280439,120.364116,17.14492813141684
19,28.005496,120.701179,18.2460848733744
20,34.228154,108.960571,11.972361396303903
21,24.49421,118.08918,21.80422313483915
22,21.7895612,111.966667,23.173442847364818
23,32.4171449,119.209227,16.487843942505133
24,-19.5907,47.1211,17.06558521560575
25,27.375914,92.409383,9.641745379876797
26,27.2029222,92.3970446,19.66266255989049
27,27.1285861,92.2578307,19.66266255989049
28,-17.0329,130.379,27.70375770020534
29,39.98005,63.32233,15.95472963723477
30,51.17,71.454,3.724223134839152
31,42.0,74.0,1.3111978097193702
32,38.8213,68.5549,3.4223956194387406
33,39.1486,69.2422,2.95570841889117
34,0.02193,-70.808,25.258870636550306
35,7.52721,-76.7476,25.723319644079396
36,0.71489,-79.0508,20.546324435318276
37,1.32382,-70.1939,25.188343600273782
38,6.19829,-69.8197,28.77438056125941
39,10.9286,-73.4056,24.892505133470223
40,5.23658,-77.1533,24.928596851471596
41,4.8791,-76.0749,21.741286789869953
42,4.25877,-77.3566,26.79496919917864
43,10.7018,-73.6363,22.868706365503076
44,1.00313,-76.8606,17.87933607118412
45,0.58622,-69.8359,25.283045859000683
46,0.88778,-69.5659,25.425133470225873
47,1.14537,-76.8931,17.87933607118412
48,10.9485,-73.8043,22.444982888432584
49,0.92316,-75.3475,24.95665297741273
50,-0.14459,-70.0749,25.395989048596853
