"iso_code","glottocode","wals_code","Name","genus","SVO_order","Glottocode","Name_SIL","Language.name","Longitude","Latitude","Area_GLOT","Continent_SIL","Country","Status_GLOT","Population_SIL","Family_SIL_Lv1","Family_SIL_Lv2","Family_SIL_Lv3","Family_GLOT_Lv1","Family_GLOT_Lv2","Family_GLOT_Lv3"
"aaa","ghot1243","gho","Ghotuo","Edoid",NA,"ghot1243","Ghotuo","Ghotuo",5.95663,7.11551,"Africa","Africa","Nigeria (NG)","not endangered",9000,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"aal","afad1236","ktk","Kotoko","Biu-Mandara",NA,"afad1236","Afade","Afade",14.6343,12.0551,"Africa","Africa","Cameroon (CM) / Nigeria (NG)","threatened",31000,"Afro-Asiatic","Chadic","B","Afro-Asiatic","Chadic","Biu-Mandara"
"aar","afar1241","qaf","Qafar","Eastern Cushitic","1 SOV","afar1241","Afar","Afar",41.8083,12.2281,"Africa","Africa","Djibouti (DJ) / Eritrea (ER) / Ethiopia (ET)","not endangered",979000,"Afro-Asiatic","Cushitic","Saho-Afar","Afro-Asiatic","Cushitic","East Cushitic"
"aau","abau1245","aba","Abau","Upper Sepik","1 SOV","abau1245","Abau","Abau",141.324,-3.97222,"Papunesia","Pacific","Papua New Guinea (PG)","shifting",7270,"Sepik","Abau",NA,"Sepik",NA,NA
"abb","bank1256","bnk","Bankon","Bantoid","2 SVO","bank1256","Bankon","Bankon",9.6403,4.3702,"Africa","Africa","Cameroon (CM)","threatened",12000,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"abe","west2630","abw","Abenaki (Western)","Algonquian",NA,"west2630","Western Abnaki","Western Abenaki",-72.6511,46.1381,"North America","Americas","Canada (CA)","nearly extinct",5,"Algic","Algonquian",NA,"Algic","Algonquian","Eastern Algonquian"
"abi","abid1235","abd","Abidji","Kwa",NA,"abid1235","Abidji","Abidji",-4.58421,5.65656,"Africa","Africa","C?te d'Ivoire (CI)","not endangered",50500,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
"abj","akab1249","akb","Aka-Biada","Great Andamanese",NA,"akab1249","Aka-Bea","Aka-Bea",92.7818,12.3782,"Eurasia","Asia","India (IN)","extinct",0,"Andamanese","Great Andamanese",NA,"Great Andamanese","Middle-South Andamanese","South Great Andamanese"
"abk","abkh1244","abk","Abkhaz","Northwest Caucasian","1 SOV","abkh1244","Abkhaz","Abkhazian",41.1591,43.0562,"Eurasia","Asia","Georgia (GE) / Russian Federation (RU) / Turkey (TR)","threatened",101000,"North Caucasian","West Caucasian",NA,"Abkhaz-Adyge","Abkhaz-Abaza",NA
"abq","abaz1241","abz","Abaza","Northwest Caucasian",NA,"abaz1241","Abaza","Abaza",42,44.25,"Eurasia","Europe","Russian Federation (RU) / Turkey (TR)","threatened",38200,"North Caucasian","West Caucasian",NA,"Abkhaz-Adyge","Abkhaz-Abaza",NA
"abt","ambu1247","amb","Ambulas","Middle Sepik","1 SOV","ambu1247","Ambulas","Ambulas",143.059,-3.7801,"Papunesia","Pacific","Papua New Guinea (PG)","threatened",44000,"Sepik","Ndu",NA,"Ndu","Nuclear Ndu","Ambulas-Hanga-Hundi"
"abv","baha1259","abh","Arabic (Bahrain)","Semitic",NA,"baha1259","Baharna Spoken Arabic","Baharna Arabic",50.5808,26.2236,"Eurasia","Asia","Bahrain (BH) / Oman (OM)","not endangered",3e+05,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"abz","abui1241","abv","Abui","Greater Alor","1 SOV","abui1241","Abui","Abui",124.588,-8.31058,"Papunesia","Asia","Indonesia (ID)","shifting",16000,"Trans-New Guinea","West","Alor-Pantar","Timor-Alor-Pantar","Alor-Pantar","Alor"
"aca","acha1250","acg","Achagua","Northern Arawakan","2 SVO","acha1250","Achagua","Achagua",-72.2005,4.38649,"South America","Americas","Colombia (CO)","shifting",250,"Arawakan","Maipuran","Inland","Arawakan","Northern Maipuran","Inland Northern Maipuran"
"acc","quic1275","aci","Ach穩","Mayan",NA,NA,"Cubulco Achi",NA,NA,NA,NA,"Americas",NA,NA,48300,"Mayan","Quichean-Mamean","Quichean",NA,NA,NA
"ace","achi1257","ace","Acehnese","Malayo-Sumbawan","7 No dominant order","achi1257","Aceh","Achinese",96.6032,3.90757,"Eurasia","Asia","Indonesia (ID)","threatened",3500000,"Austronesian","Malayo-Polynesian","North and East","Austronesian","Malayo-Polynesian","Malayo-Sumbawan"
"ach","acol1236","acl","Acholi","Nilotic","2 SVO","acol1236","Acholi","Acoli",32.5147,3.57738,"Africa","Africa","Sudan (SD) / Uganda (UG)","not endangered",1170000,"Nilo-Saharan","Eastern Sudanic","Western","Nilotic","Western Nilotic","Luo-Burun"
"aci","akac1240","akc","Aka-Cari","Great Andamanese",NA,"akac1240","Aka-Cari","Aka-Cari",92.9486,13.4909,"Eurasia","Asia","India (IN)","extinct",0,"Andamanese","Great Andamanese",NA,"Great Andamanese","North Andamanese-Akakede","Northern Great Andamanese"
"acm","meso1252","arq","Arabic (Iraqi)","Semitic","2 SVO","meso1252","Mesopotamian Spoken Arabic","Gilit Mesopotamian Arabic",43.1095,33.8178,"Eurasia","Asia","Iran, Islamic Republic of (IR) / Iraq (IQ) / Jordan (JO) / Syrian Arab Republic (SY) / Turkey (TR)","not endangered",1.2e+07,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"acn","acha1249","acn","Achang","Burmese-Lolo",NA,"acha1249","Achang","Longchuan Achang",97.7438,24.3479,"Eurasia","Asia","China (CN) / Myanmar (MM)","shifting",35000,"Sino-Tibetan","Tibeto-Burman","Burmish","Sino-Tibetan","Burmo-Qiangic","Lolo-Burmese"
"acu","achu1248","acu","Achuar","Jivaroan",NA,"achu1248","Achuar-Shiwiar","Achuar-Shiwiar",-77.2641,-2.82646,"South America","Americas","Ecuador (EC) / Peru (PE)","shifting",3000,"Jivaroan",NA,NA,"Chicham","Shuaric",NA
"acv","achu1247","acm","Achumawi","Palaihnihan","2 SVO","achu1247","Achumawi","Achumawi",-121.191,41.0979,"North America","Americas","United States (US)","nearly extinct",16,"Hokan","Northern","Shasta-Palaihnihan","Palaihnihan",NA,NA
"acw","hija1235","arh","Arabic (Hijazi)","Semitic",NA,"hija1235","Hijazi Spoken Arabic","Hijazi Arabic",38.9237,22.8346,"Eurasia","Asia","Saudi Arabia (SA) / Yemen (YE)","not endangered",6e+06,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"acy","cypr1248","ako","Arabic (Kormakiti)","Semitic",NA,"cypr1248","Cypriot Spoken Arabic","Cypriot Arabic",33.0943,35.1674,"Eurasia","Asia","Cyprus (CY)","shifting",1300,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"adi","damu1236","gal","Galo","Tani","1 SOV","bori1243","Adi","Bori-Karko",94.3538,27.6281,"Eurasia","Asia","Bhutan (BT) / China (CN) / India (IN)","not endangered",238000,"Sino-Tibetan","Tibeto-Burman","Tani","Sino-Tibetan","Macro-Tani","Tani"
"adi","damu1236","boq","Bokar","Tani","1 SOV","bori1243","Adi","Bori-Karko",94.3538,27.6281,"Eurasia","Asia","Bhutan (BT) / China (CN) / India (IN)","not endangered",238000,"Sino-Tibetan","Tibeto-Burman","Tani","Sino-Tibetan","Macro-Tani","Tani"
"adi","damu1236","boj","Bori","Tani",NA,"bori1243","Adi","Bori-Karko",94.3538,27.6281,"Eurasia","Asia","Bhutan (BT) / China (CN) / India (IN)","not endangered",238000,"Sino-Tibetan","Tibeto-Burman","Tani","Sino-Tibetan","Macro-Tani","Tani"
"adi","damu1236","mil","Milang","Tani",NA,"bori1243","Adi","Bori-Karko",94.3538,27.6281,"Eurasia","Asia","Bhutan (BT) / China (CN) / India (IN)","not endangered",238000,"Sino-Tibetan","Tibeto-Burman","Tani","Sino-Tibetan","Macro-Tani","Tani"
"adj","adio1239","adi","Adioukrou","Kwa","2 SVO","adio1239","Adioukrou","Adioukrou",-4.52522,5.38228,"Africa","Africa","C?te d'Ivoire (CI)","not endangered",1e+05,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
"adn","adan1251","adg","Adang","Greater Alor","1 SOV","adan1251","Adang","Adang",124.448,-8.18958,"Papunesia","Asia","Indonesia (ID)","shifting",31800,"Trans-New Guinea","West","Alor-Pantar","Timor-Alor-Pantar","Alor-Pantar","Alor"
"ads","adam1238","ada","Adamorobe Sign Language","Sign Languages",NA,"adam1238","Adamorobe Sign Language","Adamorobe Sign Language",-0.151,5.834,"Africa","Africa","Ghana (GH)","shifting",3400,"Deaf sign language",NA,NA,"Sign Language","Village Sign Language",NA
"adt","adny1235","adn","Adynyamathanha","Pama-Nyungan","7 No dominant order","adny1235","Adnyamathanha","Adnyamathanha",138.671,-30.1451,"Australia","Pacific","Australia (AU)","shifting",130,"Australian","Pama-Nyungan","Yura","Pama-Nyungan","Arandic-Thura-Yura","Thura-Yura"
"adx","amdo1237","amt","Amdo (Themchen)","Bodic",NA,"amdo1237","Amdo Tibetan","Amdo Tibetan",100.485,34.5177,"Eurasia","Asia","China (CN)","not endangered",810000,"Sino-Tibetan","Tibeto-Burman","Tibeto-Kanauri","Sino-Tibetan","Bodic","Bodish"
"adx","amdo1237","amd","Amdo","Bodic",NA,"amdo1237","Amdo Tibetan","Amdo Tibetan",100.485,34.5177,"Eurasia","Asia","China (CN)","not endangered",810000,"Sino-Tibetan","Tibeto-Burman","Tibeto-Kanauri","Sino-Tibetan","Bodic","Bodish"
"ady","adyg1241","adt","Adyghe (Temirgoy)","Northwest Caucasian",NA,"adyg1241","Adyghe","Adyghe",39.33,44,"Eurasia","Asia","Israel (IL) / Jordan (JO) / Russian Federation (RU) / Syrian Arab Republic (SY) / Turkey (TR)","threatened",278000,"North Caucasian","West Caucasian",NA,"Abkhaz-Adyge","Circassian",NA
"ady","adyg1241","ash","Adyghe (Shapsugh)","Northwest Caucasian",NA,"adyg1241","Adyghe","Adyghe",39.33,44,"Eurasia","Asia","Israel (IL) / Jordan (JO) / Russian Federation (RU) / Syrian Arab Republic (SY) / Turkey (TR)","threatened",278000,"North Caucasian","West Caucasian",NA,"Abkhaz-Adyge","Circassian",NA
"ady","adyg1241","ady","Adyghe (Abzakh)","Northwest Caucasian","1 SOV","adyg1241","Adyghe","Adyghe",39.33,44,"Eurasia","Asia","Israel (IL) / Jordan (JO) / Russian Federation (RU) / Syrian Arab Republic (SY) / Turkey (TR)","threatened",278000,"North Caucasian","West Caucasian",NA,"Abkhaz-Adyge","Circassian",NA
"adz","adze1240","adz","Adzera","Oceanic","2 SVO","adze1240","Adzera","Adzera",146.294,-6.39394,"Papunesia","Pacific","Papua New Guinea (PG)","threatened",28900,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"aeb","tuni1259","atu","Arabic (Tunisian)","Semitic",NA,"tuni1259","Tunisian Spoken Arabic","Tunisian Arabic",9.56156,33.7966,"Africa","Africa","Algeria (DZ) / Libya (LY) / Tunisia (TN)","not endangered",9e+06,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"aed","arge1236","lsa","Lengua de Se簽as Argentina","Sign Languages",NA,"arge1236","Argentine Sign Language","Argentine Sign Language",-59.1798,-34.797,"South America","Americas","Argentina (AR)","not endangered",0,"Deaf sign language",NA,NA,"Sign Language","Deaf Sign Language",NA
"aer","east2379","amp","Arrernte (Mparntwe)","Pama-Nyungan","1 SOV","east2379","Eastern Arrernte","Eastern Arrernte",135.046,-23.3583,"Australia","Pacific","Australia (AU)","shifting",3820,"Australian","Pama-Nyungan",NA,"Pama-Nyungan","Arandic-Thura-Yura","Arandic"
"aer","east2379","arr","Arrernte","Pama-Nyungan",NA,"east2379","Eastern Arrernte","Eastern Arrernte",135.046,-23.3583,"Australia","Pacific","Australia (AU)","shifting",3820,"Australian","Pama-Nyungan",NA,"Pama-Nyungan","Arandic-Thura-Yura","Arandic"
"aes","alse1251","als","Alsea","Alsea",NA,"alse1251","Alsea","Alsea-Yaquina",-123.94,44.408,"North America","Americas","United States (US)","extinct",0,"Penutian","Oregon Penutian","Yakonan",NA,NA,NA
"aey","amel1241","ame","Amele","Madang","1 SOV","amel1241","Amele","Amele",145.687,-5.29126,"Papunesia","Pacific","Papua New Guinea (PG)","threatened",5300,"Trans-New Guinea","Madang","Gum","Nuclear Trans New Guinea","Madang","Croisilles"
"afb","gulf1241","arg","Arabic (Gulf)","Semitic","2 SVO","gulf1241","Gulf Spoken Arabic","Gulf Arabic",47.5,30.17,"Eurasia","Asia","Bahrain (BH) / Iran, Islamic Republic of (IR) / Iraq (IQ) / Kuwait (KW) / Oman (OM) / Qatar (QA) / Saudi Arabia (SA) / United Arab Emirates (AE) / Yemen (YE)","not endangered",744000,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"afb","gulf1241","arj","Arabic (Kuwaiti)","Semitic","2 SVO","gulf1241","Gulf Spoken Arabic","Gulf Arabic",47.5,30.17,"Eurasia","Asia","Bahrain (BH) / Iran, Islamic Republic of (IR) / Iraq (IQ) / Kuwait (KW) / Oman (OM) / Qatar (QA) / Saudi Arabia (SA) / United Arab Emirates (AE) / Yemen (YE)","not endangered",744000,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"afn","defa1248","def","Defaka","Ijoid",NA,"defa1248","Defaka","Defaka",7.50186,4.58451,"Africa","Africa","Nigeria (NG)","moribund",200,"Niger-Congo","Atlantic-Congo","Defaka","Ijoid",NA,NA
"afr","afri1274","afr","Afrikaans","Germanic",NA,"afri1274","Afrikaans","Afrikaans",30,-22,"Africa","Africa","Botswana (BW) / Mozambique (MZ) / Namibia (NA) / South Africa (ZA) / Zambia (ZM) / Zimbabwe (ZW)","not endangered",4740000,"Indo-European","Germanic","Low Saxon-LowFranconian","Indo-European","Germanic","Northwest Germanic"
"afz","obok1239","obk","Obokuitai","Lakes Plain",NA,"obok1239","Obokuitai","Obokuitai",137.924,-2.88029,"Papunesia","Asia","Indonesia (ID)","shifting",120,"Lakes Plain","Tariku",NA,"Lakes Plain","Tariku","East Tariku"
"agb","legb1242","agb","Leggb籀","Cross River","2 SVO","legb1242","Legbo","Legbo",7.98385,6.02645,"Africa","Africa","Nigeria (NG)","not endangered",60000,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"agd","agar1252","aga","Agarabi","Eastern Highlands","1 SOV","agar1252","Agarabi","Agarabi",145.917,-6.20604,"Papunesia","Pacific","Papua New Guinea (PG)","not endangered",27000,"Trans-New Guinea","Kainantu-Goroka","Gadsup-Auyana-Awa","Nuclear Trans New Guinea","Kainantu-Goroka","Kainantu"
"agg","ango1254","ang","Anggor","Senagi","1 SOV","ango1254","Angor","Angor",141.199,-3.7167,"Papunesia","Pacific","Papua New Guinea (PG)","shifting",1270,"Senagi",NA,NA,"Senagi",NA,NA
"agh","ngel1238","leb","Lebeo","Bantoid","2 SVO","ngel1238","Ngelima","Ngelima",24.8754,1.81314,"Africa","Africa","Congo, The Democratic Republic of the (CD)","not endangered",13600,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"agm","anga1290","ant","Angaatiha","Angan",NA,"anga1290","Angaataha","Angaataha",146.352,-7.15012,"Papunesia","Pacific","Papua New Guinea (PG)","not endangered",2100,"Trans-New Guinea","Angan",NA,"Angan",NA,NA
"agq","aghe1239","agh","Aghem","Bantoid","2 SVO","aghe1239","Aghem","Aghem",10.0807,6.38956,"Africa","Africa","Cameroon (CM)","not endangered",26700,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"agr","agua1253","agr","Aguaruna","Jivaroan",NA,"agua1253","Aguaruna","Aguaruna",-77.9218,-5.30044,"South America","Americas","Peru (PE)","threatened",38300,"Jivaroan",NA,NA,"Chicham",NA,NA
"agt","cent2084","agc","Agta (Central)","Greater Central Philippine","3 VSO","cent2084","Central Cagayan Agta","Central Cagayan Agta",121.857,17.9571,"Papunesia","Asia","Philippines (PH)","shifting",780,"Austronesian","Malayo-Polynesian","Northern Luzon","Austronesian","Malayo-Polynesian","Northern Luzon"
"agu","agua1252","agu","Aguacatec","Mayan",NA,"agua1252","Awakateko","Aguacateco",-91.3153,15.3307,"North America","Americas","Guatemala (GT)","threatened",18000,"Mayan","Quichean-Mamean","Ixilan","Mayan","Core Mayan","Quichean-Mamean"
"agx","aghu1253","agl","Aghul","Lezgic",NA,"aghu1253","Aghul","Aghul",47.5843,41.9242,"Eurasia","Europe","Azerbaijan (AZ) / Russian Federation (RU)","shifting",28300,"North Caucasian","East Caucasian","Nuclear Lezgic","Nakh-Daghestanian","Daghestanian","Lezgic"
"ahg","qima1242","kem","Kemant","Central Cushitic","1 SOV","qima1242","Qimant","Qimant",37.0542,12.8119,"Africa","Africa","Eritrea (ER) / Ethiopia (ET)","shifting",1650,"Afro-Asiatic","Cushitic","Western","Afro-Asiatic","Cushitic","Agaw"
"ahh","aghu1255","ahu","Aghu","Awju-Dumut",NA,"aghu1255","Aghu","Aghu",140.043,-6.34674,"Papunesia","Asia","Indonesia (ID)","threatened",3000,"Trans-New Guinea","Ok-Awyu","Awyu","Nuclear Trans New Guinea","Asmat-Awyu-Ok","Awyu-Ok"
"ahk","akha1245","akh","Akha","Burmese-Lolo","1 SOV","akha1245","Akha","Akha",100.964,21.2309,"Eurasia","Asia","China (CN) / Lao People's Democratic Republic (LA) / Myanmar (MM) / Thailand (TH) / Viet Nam (VN)","not endangered",240000,"Sino-Tibetan","Tibeto-Burman","Ngwi","Sino-Tibetan","Burmo-Qiangic","Lolo-Burmese"
"ahp","apro1235","aiz","Aizi","Kru",NA,"apro1235","Aproumu Aizi","Aproumu Aizi",-4.52192,5.20273,"Africa","Africa","C?te d'Ivoire (CI)","not endangered",6500,"Niger-Congo","Atlantic-Congo","Kru","Atlantic-Congo","Volta-Congo","Unclassified Volta-Congo"
"aht","ahte1237","aht","Ahtna","Athapaskan",NA,"ahte1237","Ahtena","Ahtena",-144.889,61.7068,"North America","Americas","United States (US)","nearly extinct",35,"Na-Dene","Nuclear Na-Dene","Athapaskan","Athabaskan-Eyak-Tlingit","Athabaskan-Eyak","Athabaskan"
"aia","aros1241","aro","Arosi","Oceanic","2 SVO","aros1241","Arosi","Arosi",161.432,-10.2441,"Papunesia","Pacific","Solomon Islands (SB)","not endangered",6750,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"aib","ainu1251","ayn","Aynu","Turkic",NA,"ainu1251","Ainu","Ainu (China)",76.4209,39.2714,"Eurasia","Asia","China (CN)","shifting",6570,"Altaic","Turkic",NA,"Turkic","Common Turkic","Central Siberian Turkic"
"aie","amar1272","ama","Amara","Oceanic","2 SVO","amar1272","Amara","Amara",148.68,-5.55778,"Papunesia","Pacific","Papua New Guinea (PG)","shifting",1170,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"aii","assy1241","nsy","Neo-Aramaic (Assyrian)","Semitic",NA,"assy1241","Assyrian Neo-Aramaic","Assyrian Neo-Aramaic",43,36.75,"Eurasia","Asia","Iran, Islamic Republic of (IR) / Iraq (IQ) / Syrian Arab Republic (SY) / Turkey (TR)","threatened",30000,"Afro-Asiatic","Semitic","Aramaic","Afro-Asiatic","Semitic","West Semitic"
"aij","lish1245","naj","Neo-Aramaic (Arbel Jewish)","Semitic","1 SOV","lish1245","Lishanid Noshan","Lishanid Noshan",44.0653,36.2133,"Eurasia","Asia","Israel (IL)","moribund",2250,"Afro-Asiatic","Semitic","Aramaic","Afro-Asiatic","Semitic","West Semitic"
"ain","ainu1240","ain","Ainu","Ainu","1 SOV","ainu1240","Ainu","Hokkaido Ainu",142.462,43.6337,"Eurasia","Asia","Japan (JP)","nearly extinct",15,"Language Isolate",NA,NA,"Ainu","Hokkaido-Kuril Ainu",NA
"aiw","aari1239","aar","Aari","South Omotic",NA,"aari1239","Aari","Aari",36.5721,5.95034,"Africa","Africa","Ethiopia (ET)","not endangered",155000,"Afro-Asiatic","Omotic",NA,"South Omotic","AHK","Aari-Gayil"
"aja","ajas1235","aja","Aja","Kresh","2 SVO","ajas1235","Aja","Aja (Sudan)",25.6122,8.58003,"Africa","Africa","Sudan (SD)","shifting",200,"Nilo-Saharan","Central Sudanic","Kresh","Kresh-Aja",NA,NA
"ajg","ajab1235","ajg","Ajagbe","Kwa","7 No dominant order","ajab1235","Aja","Aja (Benin)",1.64992,7.06634,"Africa","Africa","Benin (BJ) / Togo (TG)","not endangered",360000,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
"aji","ajie1238","aji","Aji禱","Oceanic",NA,"ajie1238","Ajie","Aji?",165.468,-21.3029,"Papunesia","Pacific","New Caledonia (NC)","not endangered",4040,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"ajp","sout3123","apa","Arabic (Palestinian)","Semitic",NA,"sout3123","South Levantine Spoken Arabic","South Levantine Arabic",38.0837,31.5601,"Eurasia","Asia","Israel (IL) / Jordan (JO) / Kuwait (KW) / Palestine, State of (PS) / Saudi Arabia (SA) / Syrian Arab Republic (SY)","not endangered",3500000,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"ajp","sout3123","arv","Arabic (Negev)","Semitic",NA,"sout3123","South Levantine Spoken Arabic","South Levantine Arabic",38.0837,31.5601,"Eurasia","Asia","Israel (IL) / Jordan (JO) / Kuwait (KW) / Palestine, State of (PS) / Saudi Arabia (SA) / Syrian Arab Republic (SY)","not endangered",3500000,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"aka","akan1250","akn","Akan","Kwa","2 SVO","akan1250","Akan","Akan",-1.33254,6.34756,"Africa","Africa","Ghana (GH) / Togo (TG)","not endangered",8300000,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
"akc","mpur1239","mpu","Mpur","Kebar","2 SVO","mpur1239","Mpur","Mpur",133.166,-0.7489,"Papunesia","Asia","Indonesia (ID)","shifting",7000,"Language Isolate",NA,NA,NA,NA,NA
"ake","akaw1239","akw","Akawaio","Cariban",NA,"akaw1239","Akawaio","Akawaio",-60.862,6.16277,"South America","Americas","Brazil (BR) / Guyana (GY) / Venezuela, Bolivarian Republic of (VE)","threatened",4500,"Carib","Northern","Macushi-Kapon","Cariban","Venezuelan Cariban","Pemong-Panare"
"akl","akla1241","akl","Aklanon","Greater Central Philippine",NA,"akla1241","Inakeanon","Aklanon",122.354,11.5543,"Papunesia","Asia","Philippines (PH)","not endangered",395000,"Austronesian","Malayo-Polynesian","Greater Central Philippine","Austronesian","Malayo-Polynesian","Greater Central Philippine"
"akr","arak1252","ark","Araki","Oceanic",NA,"arak1252","Araki","Araki",166.953,-15.633,"Papunesia","Pacific","Vanuatu (VU)","nearly extinct",8,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"akv","akhv1239","axv","Akhvakh","Avar-Andic-Tsezic",NA,"akhv1239","Akhvakh","Akhvakh",46.3037,42.4003,"Eurasia","Europe","Russian Federation (RU)","shifting",6500,"North Caucasian","East Caucasian","Andic","Nakh-Daghestanian","Daghestanian","Avar-Andic-Tsezic"
"akx","akak1252","akk","Aka-Kede","Great Andamanese",NA,"akak1252","Aka-Kede","Aka-Kede",92.8227,12.8494,"Eurasia","Asia","India (IN)","extinct",0,"Andamanese","Great Andamanese",NA,"Great Andamanese","North Andamanese-Akakede",NA
"akz","alab1237","abm","Alabama","Muskogean",NA,"alab1237","Alabama","Alabama",-94.6285,30.7674,"North America","Americas","United States (US)","shifting",100,"Muskogean","Eastern",NA,"Muskogean","Alabaman-Koasati",NA
"alc","qawa1238","qaw","Qawasqar","Alacalufan",NA,"qawa1238","Qawasqar","Qawasqar",-74.7075,-49.3032,"South America","Americas","Chile (CL)","nearly extinct",12,"Alacalufan",NA,NA,"Kawesqar","North Central Alacufan",NA
"ald","alla1248","ald","Alladian","Kwa",NA,"alla1248","Alladian","Alladian",-4.42647,5.22371,"Africa","Africa","C?te d'Ivoire (CI)","not endangered",23000,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
"ale","aleu1260","aea","Aleut (Eastern)","Aleut",NA,"aleu1260","Aleut","Aleut",-174.29,52.1228,"North America","Americas","Russian Federation (RU) / United States (US)","shifting",300,"Eskimo-Aleut","Aleut",NA,"Eskimo-Aleut",NA,NA
"ale","aleu1260","ale","Aleut","Aleut","1 SOV","aleu1260","Aleut","Aleut",-174.29,52.1228,"North America","Americas","Russian Federation (RU) / United States (US)","shifting",300,"Eskimo-Aleut","Aleut",NA,"Eskimo-Aleut",NA,NA
"alh","alaw1244","alw","Alawa","Maran","7 No dominant order","alaw1244","Alawa","Alawa",134.282,-15.5458,"Australia","Pacific","Australia (AU)","nearly extinct",18,"Australian","Gunwingguan","Alawic","Mangarrayi-Maran","Maran",NA
"aln","gheg1238","alb","Albanian","Albanian","2 SVO","gheg1238","Gheg Albanian","Gheg Albanian",21.3837,42.317,"Eurasia","Europe","Albania (AL) / Bulgaria (BG) / Macedonia, Republic of (MK) / Montenegro (ME) / Romania (RO) / Serbia (RS)","moribund",1800000,"Indo-European","Albanian",NA,"Indo-European","Albanian",NA
"alo","lari1255","lrk","Larike","Central Malayo-Polynesian",NA,"lari1255","Larike-Wakasihu","Larike-Wakasihu",127.956,-3.76522,"Papunesia","Asia","Indonesia (ID)","threatened",12600,"Austronesian","Malayo-Polynesian","Central Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"alp","alun1238","aln","Alune","Central Malayo-Polynesian","2 SVO","alun1238","Alune","Alune",128.394,-3.11477,"Papunesia","Asia","Indonesia (ID)","threatened",17200,"Austronesian","Malayo-Polynesian","Central Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"alq","algo1255","alg","Algonquin","Algonquian",NA,"algo1255","Algonquin","Algonquin",-77.5258,47.3876,"North America","Americas","Canada (CA)","threatened",2430,"Algic","Algonquian","Ojibwa","Algic","Algonquian","Eastern Great Lakes Algonquian"
"alr","alut1245","alu","Alutor","Northern Chukotko-Kamchatkan",NA,"alut1245","Alutor","Alutor",165.653,60.3844,"Eurasia","Asia","Russian Federation (RU)","moribund",150,"Chukotko-Kamchatkan","Northern",NA,"Chukotko-Kamchatkan","Chukotian",NA
"alt","sout2694","aso","Altai (Southern)","Turkic",NA,"sout2694","Southern Altai","Southern Altai",86.8705,50.1347,"Eurasia","Asia","China (CN) / Kazakhstan (KZ) / Mongolia (MN) / Russian Federation (RU)","shifting",20000,"Altaic","Turkic",NA,"Turkic","Common Turkic","Kipchak"
"alu","area1240","arx","'Are'are","Oceanic",NA,"area1240","Areare","Are'are",161.158,-9.20699,"Papunesia","Pacific","Solomon Islands (SB)","not endangered",17900,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
