"iso_code","glottocode","wals_code","Name","genus","SVO_order","Glottocode","Name_SIL","Language.name","Longitude","Latitude","Area_GLOT","Continent_SIL","Country","Status_GLOT","Population_SIL","Family_SIL_Lv1","Family_SIL_Lv2","Family_SIL_Lv3","Family_GLOT_Lv1","Family_GLOT_Lv2","Family_GLOT_Lv3"
"esu","cent2127","ych","Yup'ik (Chevak)","Eskimo",NA,"cent2127","Central Yupik","Central Alaskan Yupik",-161.486,60.3062,"North America","Americas","United States (US)","shifting",16900,"Eskimo-Aleut","Eskimo","Alaskan","Eskimo-Aleut","Eskimo","Yupik"
"esu","cent2127","yun","Yup'ik (Norton Sound)","Eskimo",NA,"cent2127","Central Yupik","Central Alaskan Yupik",-161.486,60.3062,"North America","Americas","United States (US)","shifting",16900,"Eskimo-Aleut","Eskimo","Alaskan","Eskimo-Aleut","Eskimo","Yupik"
"esu","cent2127","ypk","Yup'ik (Central)","Eskimo","7 No dominant order","cent2127","Central Yupik","Central Alaskan Yupik",-161.486,60.3062,"North America","Americas","United States (US)","shifting",16900,"Eskimo-Aleut","Eskimo","Alaskan","Eskimo-Aleut","Eskimo","Yupik"
"etr","edol1239","edo","Edolo","Bosavi","1 SOV","edol1239","Edolo","Edolo",142.65,-6.11618,"Papunesia","Pacific","Papua New Guinea (PG)","not endangered",1670,"Trans-New Guinea","Bosavi",NA,"Bosavi","Etoro-Bedamini",NA
"ets","yekh1238","ets","Etsako","Edoid",NA,"yekh1238","Yekhee","Yekhee",6.44919,7.10204,"Africa","Africa","Nigeria (NG)","not endangered",274000,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"etu","ejag1239","eja","Ejagham","Bantoid",NA,"ejag1239","Ejagham","Ejagham",8.90959,5.54442,"Africa","Africa","Cameroon (CM) / Nigeria (NG)","not endangered",67300,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"eus","basq1248","bqr","Basque (Roncalese)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bqg","Basque (Gernica)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bqh","Basque (Hondarribia)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bqz","Basque (Zeberio)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bqb","Basque (Bidasoa Valley)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1250","bso","Basque (Souletin)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bqn","Basque (Northern High Navarrese)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bqs","Basque (Sakana)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bqi","Basque (Basaburua and Imoz)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bsq","Basque","Basque","1 SOV","basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bql","Basque (Lekeitio)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eus","basq1248","bqo","Basque (O簽ati)","Basque",NA,"basq1248","Basque","Basque",-1.31622,43.2787,"Eurasia","Europe","France (FR) / Spain (ES)","threatened",580000,"Basque",NA,NA,NA,NA,NA
"eve","even1260","evn","Even","Tungusic","1 SOV","even1260","Even","Even",130.914,70.6687,"Eurasia","Asia","Russian Federation (RU)","moribund",7170,"Altaic","Tungusic","Even","Tungusic","Northern Tungusic",NA
"evn","even1259","eve","Evenki","Tungusic","1 SOV","even1259","Evenki","Evenki",94.689,61.972,"Eurasia","Asia","China (CN) / Mongolia (MN) / Russian Federation (RU)","shifting",19000,"Altaic","Tungusic","Evenki","Tungusic","Northern Tungusic","Northwestern Tungusic"
"evn","even1259","sol","Solon","Tungusic",NA,"even1259","Evenki","Evenki",94.689,61.972,"Eurasia","Asia","China (CN) / Mongolia (MN) / Russian Federation (RU)","shifting",19000,"Altaic","Tungusic","Evenki","Tungusic","Northern Tungusic","Northwestern Tungusic"
"ewe","ewee1241","ewe","Ewe","Kwa","2 SVO","ewee1241","Ewe","Ewe",0.81498,6.46061,"Africa","Africa","Ghana (GH) / Togo (TG)","not endangered",2250000,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
