Glottocode,ISO,Name_SIL,Language name,Longitude,Latitude,Area_GLOT,Continent_SIL,Country,Status_GLOT,Population_SIL,Family_SIL_Lv1,Family_SIL_Lv2,Family_SIL_Lv3,Family_GLOT_Lv1,Family_GLOT_Lv2,Family_GLOT_Lv3
wann1241,jub,Wannu,Wannu,8.96594,7.83859,Africa,Africa,Nigeria (NG),not endangered,4000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
wann1242,wan,Wan,Wan,-5.82092,7.88773,Africa,Africa,C?te d'Ivoire (CI),not endangered,22000,Niger-Congo,Mande,Southeastern,Mande,Eastern Mande,Southeastern Mande
wano1243,wno,Wano,Wano,137.678,-3.47858,Papunesia,Asia,Indonesia (ID),shifting,7000,Trans-New Guinea,West,Wano,Nuclear Trans New Guinea,Dani,NA
want1252,wnc,Wantoat,Wantoat,146.513,-6.15216,Papunesia,Pacific,Papua New Guinea (PG),shifting,8200,Trans-New Guinea,Finisterre-Huon,Wantoat,Nuclear Trans New Guinea,Finisterre-Huon,Finisterre-Saruwaged
wanu1241,wnk,Wanukaka,Wanukaka,119.468,-9.69834,Papunesia,Asia,Indonesia (ID),shifting,10000,Austronesian,Malayo-Polynesian,Central Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
wany1246,unknow,NA,Wanyam,-63.1,-12.1,South America,NA,Brazil (BR),extinct,NA,NA,NA,NA,Chapacuran,Moreic-Waric,Waric
wany1247,wny,NA,Wanyi,137.608,-18.6529,Australia,NA,Australia (AU),nearly extinct,NA,NA,NA,NA,Garrwan,NA,NA
waor1240,auc,Waorani,Waorani,-76.683,-1.12312,South America,Americas,Ecuador (EC),shifting,1650,Language Isolate,NA,NA,NA,NA,NA
wapa1235,juk,Wapan,Wapan,9.83299,7.97862,Africa,Africa,Nigeria (NG),not endangered,100000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
waph1238,juw,Wapha,W?pha,9.90381,9.10829,Africa,Africa,Nigeria (NG),shifting,1610,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
