Glottocode,ISO,Name_SIL,Language name,Longitude,Latitude,Area_GLOT,Continent_SIL,Country,Status_GLOT,Population_SIL,Family_SIL_Lv1,Family_SIL_Lv2,Family_SIL_Lv3,Family_GLOT_Lv1,Family_GLOT_Lv2,Family_GLOT_Lv3
aari1239,aiw,Aari,Aari,36.5721,5.95034,Africa,Africa,Ethiopia (ET),not endangered,155000,Afro-Asiatic,Omotic,NA,South Omotic,AHK,Aari-Gayil
aasa1238,aas,Aasax,Aasax,36.8648,-4.00679,Africa,Africa,"Tanzania, United Republic of (TZ)",extinct,350,Afro-Asiatic,Cushitic,NA,Afro-Asiatic,Cushitic,South Cushitic
abad1241,kbt,Abadi,Abadi,146.992,-9.03389,Papunesia,Pacific,Papua New Guinea (PG),not endangered,4300,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
abag1245,abg,Abaga,Abaga,145.665,-6.12028,Papunesia,Pacific,Papua New Guinea (PG),nearly extinct,5,Trans-New Guinea,Madang,NA,Nuclear Trans New Guinea,Kainantu-Goroka,Goroka
abai1240,abf,Abai Sungai,Abai Sungai,118.306,5.55394,Papunesia,Asia,Malaysia (MY),shifting,500,Austronesian,Malayo-Polynesian,Sabahan,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
abai1241,unknow,NA,Abai Tubu-Abai Sembuak,116.162,3.52423,Eurasia,NA,Malaysia (MY),NA,NA,NA,NA,NA,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
aban1242,abm,Abanyom,Abanyom,8.63055,6.30619,Africa,Africa,Nigeria (NG),not endangered,12500,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abar1238,mij,Abar,Mungbam,10.2267,6.5805,Africa,Africa,Cameroon (CM),shifting,2000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abau1245,aau,Abau,Abau,141.324,-3.97222,Papunesia,Pacific,Papua New Guinea (PG),shifting,7270,Sepik,Abau,NA,Sepik,NA,NA
abaz1241,abq,Abaza,Abaza,42,44.25,Eurasia,Europe,Russian Federation (RU) / Turkey (TR),threatened,38200,North Caucasian,West Caucasian,NA,Abkhaz-Adyge,Abkhaz-Abaza,NA
abee1242,aba,Abe,Ab?,-4.38497,5.59682,Africa,Africa,C?te d'Ivoire (CI),not endangered,170000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
aben1249,abp,Abellen Ayta,Abenlen Ayta,120.2,15.4131,Papunesia,Asia,Philippines (PH),shifting,3000,Austronesian,Malayo-Polynesian,Central Luzon,Austronesian,Malayo-Polynesian,Central Luzon
abid1235,abi,Abidji,Abidji,-4.58421,5.65656,Africa,Africa,C?te d'Ivoire (CI),not endangered,50500,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
abin1243,bsa,Abinomn,Abinomn,138.891,-2.92281,Papunesia,Asia,Indonesia (ID),shifting,300,Language Isolate,NA,NA,NA,NA,NA
abip1241,axb,Abipon,Abipon,-61,-29,South America,Americas,Argentina (AR),extinct,0,Mataco-Guaicuru,Guaicuruan,NA,Guaicuruan,Guaicuru del Sur,NA
abis1238,ash,Abishira,Aewa,-75.0844,-1.2841,South America,Americas,Peru (PE),extinct,0,Unclassified,NA,NA,NA,NA,NA
abkh1244,abk,Abkhaz,Abkhazian,41.1591,43.0562,Eurasia,Asia,Georgia (GE) / Russian Federation (RU) / Turkey (TR),threatened,101000,North Caucasian,West Caucasian,NA,Abkhaz-Adyge,Abkhaz-Abaza,NA
abom1238,aob,Abom,Abom,142.842,-8.42448,Papunesia,Pacific,Papua New Guinea (PG),nearly extinct,15,Trans-New Guinea,Tirio,NA,Anim,Tirio,NA
abon1238,abo,Abon,Abon,10.8769,6.90621,Africa,Africa,Cameroon (CM) / Nigeria (NG),not endangered,1000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abro1238,abr,Abron,Abron,-2.50289,7.72094,Africa,Africa,C?te d'Ivoire (CI) / Ghana (GH),not endangered,1050000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
abua1244,abn,Abua,Abua,6.61492,4.83057,Africa,Africa,Nigeria (NG),not endangered,25000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abua1245,aah,NA,Abu' Arapesh,142.917,-3.46161,Papunesia,NA,Papua New Guinea (PG),shifting,NA,NA,NA,NA,Nuclear Torricelli,Kombio-Arapesh-Urat,Arapesh
abui1241,abz,Abui,Abui,124.588,-8.31058,Papunesia,Asia,Indonesia (ID),shifting,16000,Trans-New Guinea,West,Alor-Pantar,Timor-Alor-Pantar,Alor-Pantar,Alor
abun1252,kgr,Abun,Abun,132.416,-0.57073,Papunesia,Asia,Indonesia (ID),shifting,3000,Language Isolate,NA,NA,NA,NA,NA
abur1243,abu,Abure,Abure,-3.64123,5.21534,Africa,Africa,C?te d'Ivoire (CI),not endangered,55100,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
abur1244,mgj,Abureni,Abureni,6.50634,4.62301,Africa,Africa,Nigeria (NG),not endangered,4000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abuu1241,ado,Abu,Abu,144.474,-4.24027,Papunesia,Pacific,Papua New Guinea (PG),shifting,4200,Ramu-Lower Sepik,Ramu,NA,Lower Sepik-Ramu,Ramu,Agoan
acat1239,tpx,Acatepec Me'phaa,Acatepec Me'phaa,-99.0602,17.1034,North America,Americas,Mexico (MX),not endangered,54000,Oto-Manguean,Subtiaba-Tlapanecan,NA,Otomanguean,Western Otomanguean,Tlapanec-Manguean
acha1249,acn,Achang,Longchuan Achang,97.7438,24.3479,Eurasia,Asia,China (CN) / Myanmar (MM),shifting,35000,Sino-Tibetan,Tibeto-Burman,Burmish,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
acha1250,aca,Achagua,Achagua,-72.2005,4.38649,South America,Americas,Colombia (CO),shifting,250,Arawakan,Maipuran,Inland,Arawakan,Northern Maipuran,Inland Northern Maipuran
ache1244,yif,Ache,Ache,102.446,24.152,Eurasia,Asia,China (CN),threatened,35000,Sino-Tibetan,Tibeto-Burman,Ngwi,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
ache1245,acz,Acheron,Acheron,30.3187,10.8827,Africa,Africa,Sudan (SD),threatened,0,Niger-Congo,Kordofanian,Talodi Proper,Narrow Talodi,Buram-Saraf,Acheron-Tocho
ache1246,guq,Ache,Ach?,-56.4697,-25.5865,South America,Americas,Paraguay (PY),moribund,1360,Tupi,Tupi-Guarani,NA,Tupian,Maweti-Guarani,Aweti-Guarani
achi1256,acr,Rabinal Achi,Achi,-90.3513,15.073,North America,Americas,Guatemala (GT),threatened,37300,Mayan,Quichean-Mamean,Quichean,Mayan,Core Mayan,Quichean-Mamean
achi1257,ace,Aceh,Achinese,96.6032,3.90757,Eurasia,Asia,Indonesia (ID),threatened,3500000,Austronesian,Malayo-Polynesian,North and East,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
acht1238,act,Achterhoeks,Achterhoeks,6.47521,52.021,Eurasia,Europe,Germany (DE) / Netherlands (NL),threatened,0,Indo-European,Germanic,Low Saxon-Low Franconian,Indo-European,Germanic,Northwest Germanic
achu1247,acv,Achumawi,Achumawi,-121.191,41.0979,North America,Americas,United States (US),nearly extinct,16,Hokan,Northern,Shasta-Palaihnihan,Palaihnihan,NA,NA
achu1248,acu,Achuar-Shiwiar,Achuar-Shiwiar,-77.2641,-2.82646,South America,Americas,Ecuador (EC) / Peru (PE),shifting,3000,Jivaroan,NA,NA,Chicham,Shuaric,NA
acol1236,ach,Acholi,Acoli,32.5147,3.57738,Africa,Africa,Sudan (SD) / Uganda (UG),not endangered,1170000,Nilo-Saharan,Eastern Sudanic,Western,Nilotic,Western Nilotic,Luo-Burun
acro1239,acs,Acroa,Acro?,-40.2145,-12.594,South America,Americas,Brazil (BR),extinct,0,Macro-Ge,Ge-Kaingang,Central,Nuclear-Macro-Je,Je,Je Central
adai1235,xad,NA,Adai,-92.0059,31.6314,North America,NA,United States (US),extinct,NA,NA,NA,NA,NA,NA,NA
adam1238,ads,Adamorobe Sign Language,Adamorobe Sign Language,-0.151,5.834,Africa,Africa,Ghana (GH),shifting,3400,Deaf sign language,NA,NA,Sign Language,Village Sign Language,NA
adam1253,fub,Adamawa Fulfulde,Adamawa Fulfulde,13.0773,8.14033,Africa,Africa,Cameroon (CM) / Chad (TD) / Eritrea (ER) / Ethiopia (ET) / Nigeria (NG) / Sudan (SD),not endangered,7611000,Niger-Congo,Atlantic-Congo,Northern,Atlantic-Congo,North-Central Atlantic,North Atlantic
adan1247,ada,Dangme,Adangme,0.13243,5.9437,Africa,Africa,Ghana (GH),not endangered,800000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
adan1248,adq,Adangbe,Adangbe,0.72716,6.50546,Africa,Africa,Ghana (GH) / Togo (TG),threatened,2000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
adan1251,adn,Adang,Adang,124.448,-8.18958,Papunesia,Asia,Indonesia (ID),shifting,31800,Trans-New Guinea,West,Alor-Pantar,Timor-Alor-Pantar,Alor-Pantar,Alor
adas1235,tiu,Adasen,Adasen,120.905,17.8187,Papunesia,Asia,Philippines (PH),shifting,4000,Austronesian,Malayo-Polynesian,Northern Luzon,Austronesian,Malayo-Polynesian,Northern Luzon
adel1244,ade,Adele,Adele,0.61919,8.16975,Africa,Africa,Ghana (GH) / Togo (TG),not endangered,16300,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
adha1238,unknow,NA,Adhari,48.06,40.05,Eurasia,NA,Azerbaijan (AZ),extinct,NA,NA,NA,NA,Indo-European,Indo-Iranian,Iranian
adho1243,adh,Adhola,Adhola,34.0341,0.73235,Africa,Africa,Kenya (KE) / Uganda (UG),not endangered,360000,Nilo-Saharan,Eastern Sudanic,Western,Nilotic,Western Nilotic,Luo-Burun
adio1239,adj,Adioukrou,Adioukrou,-4.52522,5.38228,Africa,Africa,C?te d'Ivoire (CI),not endangered,100000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
adiv1239,ort,Adivasi Oriya,Kotia-Adivasi Oriya-Desiya,82.8487,18.1046,Eurasia,Asia,India (IN),not endangered,150000,Indo-European,Indo-Iranian,Eastern zone,Indo-European,Indo-Iranian,Indo-Aryan
adiw1235,gas,Adiwasi Garasia,Adiwasi Garasia,73.1426,24.0712,Eurasia,Asia,India (IN),not endangered,100000,Indo-European,Indo-Iranian,Central zone,Indo-European,Indo-Iranian,Indo-Aryan
adny1235,adt,Adnyamathanha,Adnyamathanha,138.671,-30.1451,Australia,Pacific,Australia (AU),shifting,130,Australian,Pama-Nyungan,Yura,Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura
adon1237,adr,Adonara,Adonara,123.159,-8.32027,Papunesia,Asia,Indonesia (ID),not endangered,17000,Austronesian,Malayo-Polynesian,Central Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
adur1234,unknow,NA,Adurgari,NA,NA,Eurasia,NA,Afghanistan (AF),NA,NA,NA,NA,NA,Speech Register,Indo-European Speech Register,NA
adyg1241,ady,Adyghe,Adyghe,39.33,44,Eurasia,Asia,Israel (IL) / Jordan (JO) / Russian Federation (RU) / Syrian Arab Republic (SY) / Turkey (TR),threatened,278000,North Caucasian,West Caucasian,NA,Abkhaz-Adyge,Circassian,NA
adze1240,adz,Adzera,Adzera,146.294,-6.39394,Papunesia,Pacific,Papua New Guinea (PG),threatened,28900,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
aeka1244,aez,Aeka,Aeka,147.995,-8.8551,Papunesia,Pacific,Papua New Guinea (PG),not endangered,3400,Trans-New Guinea,Binanderean,NA,Nuclear Trans New Guinea,Greater Binanderean,Binanderean
aeky1238,awi,Aekyom,Aekyom,141.532,-5.88478,Papunesia,Pacific,Papua New Guinea (PG),not endangered,8000,Trans-New Guinea,Awin-Pare,NA,Kamula-Elevala,Elevala,NA
aerr1238,aeq,Aer,Aer,69.029,25.254,Eurasia,Asia,Pakistan (PK),shifting,150,Indo-European,Indo-Iranian,Central zone,Indo-European,Indo-Iranian,Indo-Aryan
afad1236,aal,Afade,Afade,14.6343,12.0551,Africa,Africa,Cameroon (CM) / Nigeria (NG),threatened,31000,Afro-Asiatic,Chadic,B,Afro-Asiatic,Chadic,Biu-Mandara
afar1241,aar,Afar,Afar,41.8083,12.2281,Africa,Africa,Djibouti (DJ) / Eritrea (ER) / Ethiopia (ET),not endangered,979000,Afro-Asiatic,Cushitic,Saho-Afar,Afro-Asiatic,Cushitic,East Cushitic
afgh1239,afg,Afghan Sign Language,Afghan Sign Language,70.4478,34.4342,Eurasia,Asia,Afghanistan (AF),not endangered,500,Deaf sign language,NA,NA,Sign Language,Deaf Sign Language,NA
afgh1240,unknow,NA,Afghanistan Gorbat,NA,NA,Eurasia,NA,Afghanistan (AF),NA,NA,NA,NA,NA,Mixed Language,Persian-Indic,NA
afit1238,aft,Afitti,Afitti,30.7611,12.446,Africa,Africa,Sudan (SD),shifting,4510,Nilo-Saharan,Eastern Sudanic,Nyimang,Nyimang,NA,NA
afri1274,afr,Afrikaans,Afrikaans,30,-22,Africa,Africa,Botswana (BW) / Mozambique (MZ) / Namibia (NA) / South Africa (ZA) / Zambia (ZM) / Zimbabwe (ZW),not endangered,4740000,Indo-European,Germanic,Low Saxon-LowFranconian,Indo-European,Germanic,Northwest Germanic
afro1254,afs,Afro-Seminole Creole,Afro-Seminole Creole,-99.2934,31.7843,North America,Americas,Mexico (MX) / United States (US),moribund,200,Creole,English based,Eastern,Indo-European,Germanic,Northwest Germanic
afud1235,unknow,NA,Afudu,11.2968,9.83115,Africa,NA,Nigeria (NG),NA,NA,NA,NA,NA,Atlantic-Congo,Volta-Congo,Benue-Congo
agar1251,agi,Agariya,Agariya,82.297,24.5024,Eurasia,Asia,India (IN),not endangered,72000,Austro-Asiatic,Munda,Kherwari,Unattested,Dravidian (Unattested),NA
agar1252,agd,Agarabi,Agarabi,145.917,-6.20604,Papunesia,Pacific,Papua New Guinea (PG),not endangered,27000,Trans-New Guinea,Kainantu-Goroka,Gadsup-Auyana-Awa,Nuclear Trans New Guinea,Kainantu-Goroka,Kainantu
agat1236,agc,Agatu,Agatu,7.71639,7.97915,Africa,Africa,Nigeria (NG),not endangered,70000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
agav1236,avo,Agavotaguerra,Agavotaguerra,-53.4394,-13.2985,South America,Americas,Brazil (BR),extinct,0,Unclassified,NA,NA,Unattested,Arawakan (Unattested),NA
agbi1234,unknow,NA,Agbirigba,NA,NA,Africa,NA,Nigeria (NG),NA,NA,NA,NA,NA,Speech Register,Atlantic-Congo Speech Register,NA
aghe1239,agq,Aghem,Aghem,10.0807,6.38956,Africa,Africa,Cameroon (CM),not endangered,26700,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
aghu1253,agx,Aghul,Aghul,47.5843,41.9242,Eurasia,Europe,Azerbaijan (AZ) / Russian Federation (RU),shifting,28300,North Caucasian,East Caucasian,Nuclear Lezgic,Nakh-Daghestanian,Daghestanian,Lezgic
aghu1254,ggr,Aghu Tharnggalu,Aghu Tharnggalu,142.426,-13.735,Australia,Pacific,Australia (AU),extinct,0,Australian,Pama-Nyungan,Rarmul Pama,Pama-Nyungan,Paman,Alaya-Athima
aghu1255,ahh,Aghu,Aghu,140.043,-6.34674,Papunesia,Asia,Indonesia (ID),threatened,3000,Trans-New Guinea,Ok-Awyu,Awyu,Nuclear Trans New Guinea,Asmat-Awyu-Ok,Awyu-Ok
aghw1237,xag,NA,Aghwan,47.1267,40.3744,Eurasia,NA,Azerbaijan (AZ),extinct,NA,NA,NA,NA,Nakh-Daghestanian,Daghestanian,Lezgic
agii1245,aif,Agi,Agi,142.387,-3.49104,Papunesia,Pacific,Papua New Guinea (PG),shifting,960,Torricelli,Wapei-Palei,NA,Nuclear Torricelli,West Palai,Agi-Yeri
agob1244,kit,Agob,Agob-Ende-Kawam,142.532,-9.08521,Papunesia,Pacific,Papua New Guinea (PG),not endangered,2440,South-Central Papuan,Pahoturi,NA,Pahoturi,NA,NA
agoi1246,ibm,Agoi,Agoi,8.21629,5.87953,Africa,Africa,Nigeria (NG),not endangered,12000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
agta1234,apf,NA,Agta-Pahanan,122.28,17.0538,Papunesia,NA,Philippines (PH),not endangered,NA,NA,NA,NA,Austronesian,Malayo-Polynesian,Northern Luzon
agua1251,aga,Aguano,Aguano,-75.8333,-5.25,South America,Americas,Peru (PE),extinct,40,Unclassified,NA,NA,Unattested,Arawakan (Unattested),NA
agua1252,agu,Awakateko,Aguacateco,-91.3153,15.3307,North America,Americas,Guatemala (GT),threatened,18000,Mayan,Quichean-Mamean,Ixilan,Mayan,Core Mayan,Quichean-Mamean
agua1253,agr,Aguaruna,Aguaruna,-77.9218,-5.30044,South America,Americas,Peru (PE),threatened,38300,Jivaroan,NA,NA,Chicham,NA,NA
agun1238,aug,Aguna,Aguna,1.74452,7.49256,Africa,Africa,Benin (BJ) / Togo (TG),shifting,3470,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
agus1235,msm,Agusan Manobo,Agusan Manobo,125.742,8.62731,Papunesia,Asia,Philippines (PH),not endangered,60000,Austronesian,Malayo-Polynesian,Greater Central Philippine,Austronesian,Malayo-Polynesian,Greater Central Philippine
agut1237,agn,Agutaynen,Agutaynen,119.655,10.5328,Papunesia,Asia,Philippines (PH),not endangered,15000,Austronesian,Malayo-Polynesian,Kalamian,Austronesian,Malayo-Polynesian,Kalamian
agwa1247,yay,Agwagwune,Agwagwune,8.03166,5.81055,Africa,Africa,Nigeria (NG),not endangered,20000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
ahan1243,aha,Ahanta,Ahanta,-1.94657,4.85147,Africa,Africa,Ghana (GH),not endangered,142000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
ahan1244,ahn,Ahan,?h?n,6.00896,7.44139,Africa,Africa,Nigeria (NG),shifting,300,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
aheu1239,thm,Aheu,Thavung,104.229,17.7655,Eurasia,Asia,Lao People's Democratic Republic (LA) / Thailand (TH),shifting,1770,Austro-Asiatic,Mon-Khmer,Thavung,Austroasiatic,Vietic,Chutic
ahin1234,kak,Kayapa Kallahan,Ahin-Kayapa Kalanguya,120.9,16.321,NA,Asia,Philippines (PH),not endangered,15000,Austronesian,Malayo-Polynesian,Northern Luzon,Austronesian,Malayo-Polynesian,Northern Luzon
ahom1240,aho,Ahom,Ahom,88.464,27.2778,Eurasia,Asia,India (IN),extinct,0,Tai-Kadai,Kam-Tai,Tai-Sek,Tai-Kadai,Kam-Tai,Be-Tai
ahte1237,aht,Ahtena,Ahtena,-144.889,61.7068,North America,Americas,United States (US),nearly extinct,35,Na-Dene,Nuclear Na-Dene,Athapaskan,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak,Athabaskan
ahwa1235,nfd,Ndun,Ndunic,8.56205,9.17635,Africa,Africa,Nigeria (NG),not endangered,3000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
aich1238,aih,Ai-Cham,Ai-Cham,107.844,25.4908,Eurasia,Asia,China (CN),threatened,2700,Tai-Kadai,Kam-Tai,NA,Tai-Kadai,Kam-Tai,Kam-Sui
aigh1235,aix,Aighon,Aighon,150.272,-5.99488,Papunesia,Pacific,Papua New Guinea (PG),not endangered,2000,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
aika1237,tba,Aikana,Aikan?,-60.5353,-12.6695,South America,Americas,Brazil (BR),threatened,180,Unclassified,NA,NA,NA,NA,NA
aikl1237,mwg,Aiklep,Aiklep,149.571,-6.23575,Papunesia,Pacific,Papua New Guinea (PG),not endangered,3700,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
aima1241,aiq,Aimaq,Aimaq,59.1756,35.283,Eurasia,Asia,"Afghanistan (AF) / Iran, Islamic Republic of (IR)",not endangered,480000,Indo-European,Indo-Iranian,Western,Indo-European,Indo-Iranian,Iranian
aime1238,ail,Aimele,Aimele,142.656,-6.68656,Papunesia,Pacific,Papua New Guinea (PG),shifting,140,Trans-New Guinea,Bosavi,NA,Bosavi,Bosavi Watershed,NA
aimo1244,aim,Aimol,Aimol,94.3556,24.6437,Eurasia,Asia,India (IN) / Nepal (NP),shifting,2640,Sino-Tibetan,Tibeto-Burman,Kuki-Chin,Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin
ainb1238,aic,Ainbai,Ainbai,141.149,-3.09214,Papunesia,Pacific,Papua New Guinea (PG),shifting,100,Border,Bewani,NA,Border,Bewani,Pagi-Kilmeri
ainu1240,ain,Ainu,Hokkaido Ainu,142.462,43.6337,Eurasia,Asia,Japan (JP),nearly extinct,15,Language Isolate,NA,NA,Ainu,Hokkaido-Kuril Ainu,NA
ainu1251,aib,Ainu,Ainu (China),76.4209,39.2714,Eurasia,Asia,China (CN),shifting,6570,Altaic,Turkic,NA,Turkic,Common Turkic,Central Siberian Turkic
aiom1240,aki,Aiome,Aiome,144.765,-5.13467,Papunesia,Pacific,Papua New Guinea (PG),shifting,750,Ramu-Lower Sepik,Ramu,NA,Lower Sepik-Ramu,Ramu,Aian
airo1242,air,Airoran,Airoran,138.158,-1.8522,Papunesia,Asia,Indonesia (ID),not endangered,1000,Tor-Kwerba,Greater Kwerba,West Coast,Greater Kwerba,Kwerba-Samarokena,Samarokena-Airoran
aito1238,aio,Aiton,Aiton,92.3169,26.5145,Eurasia,Asia,India (IN),shifting,1500,Tai-Kadai,Kam-Tai,Tai-Sek,Tai-Kadai,Kam-Tai,Be-Tai
ajab1235,ajg,Aja,Aja (Benin),1.64992,7.06634,Africa,Africa,Benin (BJ) / Togo (TG),not endangered,360000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
ajas1235,aja,Aja,Aja (Sudan),25.6122,8.58003,Africa,Africa,Sudan (SD),shifting,200,Nilo-Saharan,Central Sudanic,Kresh,Kresh-Aja,NA,NA
ajaw1236,ajw,Ajawa,Ajawa,9.89205,10.21,Africa,Africa,Nigeria (NG),extinct,0,Afro-Asiatic,Chadic,B,Afro-Asiatic,Chadic,West Chadic
ajie1238,aji,Ajie,Aji?,165.468,-21.3029,Papunesia,Pacific,New Caledonia (NC),not endangered,4040,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
ajyi1238,cpc,Ajyininka Apurucayali,Ajy?ninka Apurucayali,-74.6195,-9.82364,South America,Americas,Peru (PE),threatened,4000,Arawakan,Maipuran,Pre-Andine,Arawakan,Southern Maipuran,Pre-Andine Maipuran
akaa1242,soh,Aka,Aka,33.6524,11.2101,Africa,Africa,Sudan (SD),shifting,300,Nilo-Saharan,Eastern Sudanic,Eastern Jebel,Eastern Jebel,Aka-Kelo-Molo,NA
akab1248,akm,Aka-Bo,Aka-Bo,92.8011,12.3629,Eurasia,Asia,India (IN),extinct,0,Andamanese,Great Andamanese,NA,Great Andamanese,North Andamanese-Akakede,Northern Great Andamanese
akab1249,abj,Aka-Bea,Aka-Bea,92.7818,12.3782,Eurasia,Asia,India (IN),extinct,0,Andamanese,Great Andamanese,NA,Great Andamanese,Middle-South Andamanese,South Great Andamanese
akac1240,aci,Aka-Cari,Aka-Cari,92.9486,13.4909,Eurasia,Asia,India (IN),extinct,0,Andamanese,Great Andamanese,NA,Great Andamanese,North Andamanese-Akakede,Northern Great Andamanese
akaj1239,akj,Aka-Jeru,Aka-Jeru,92.9504,13.1525,Eurasia,Asia,India (IN),nearly extinct,0,Andamanese,Great Andamanese,NA,Great Andamanese,North Andamanese-Akakede,Northern Great Andamanese
akak1251,ack,Aka-Kora,Aka-Kora,92.7466,12.0944,Eurasia,Asia,India (IN),extinct,0,Andamanese,Great Andamanese,NA,Great Andamanese,North Andamanese-Akakede,Northern Great Andamanese
akak1252,akx,Aka-Kede,Aka-Kede,92.8227,12.8494,Eurasia,Asia,India (IN),extinct,0,Andamanese,Great Andamanese,NA,Great Andamanese,North Andamanese-Akakede,NA
akak1253,aky,Aka-Kol,Aka-Kol,92.7866,12.7325,Eurasia,Asia,India (IN),extinct,0,Andamanese,Great Andamanese,NA,Great Andamanese,Middle-South Andamanese,Middle Great Andamanese
akan1250,aka,Akan,Akan,-1.33254,6.34756,Africa,Africa,Ghana (GH) / Togo (TG),not endangered,8300000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
akar1243,acl,Akar-Bale,Akar-Bale,92.8278,12.6663,Papunesia,Asia,India (IN),extinct,0,Andamanese,Great Andamanese,NA,Great Andamanese,Middle-South Andamanese,South Great Andamanese
akas1242,aks,Akaselem,Akaselem,1.37035,8.8858,Africa,Africa,Togo (TG),not endangered,47500,Niger-Congo,Atlantic-Congo,North,Atlantic-Congo,Volta-Congo,North Volta-Congo
akaw1239,ake,Akawaio,Akawaio,-60.862,6.16277,South America,Americas,"Brazil (BR) / Guyana (GY) / Venezuela, Bolivarian Republic of (VE)",threatened,4500,Carib,Northern,Macushi-Kapon,Cariban,Venezuelan Cariban,Pemong-Panare
akeb1238,keu,Akebu,Akebu,0.77668,7.78365,Africa,Africa,Togo (TG),not endangered,56400,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
akee1238,aik,Ake,Ake,8.75768,8.59543,Africa,Africa,Nigeria (NG),threatened,3000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
akei1237,tsr,Akei,Akei,166.767,-15.6377,Papunesia,Pacific,Vanuatu (VU),not endangered,650,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
akeu1235,aeu,Akeu,Akeu,101.082,22.1959,Eurasia,Asia,China (CN) / Lao People's Democratic Republic (LA) / Myanmar (MM) / Thailand (TH),shifting,10000,Sino-Tibetan,Tibeto-Burman,Ngwi,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
akha1245,ahk,Akha,Akha,100.964,21.2309,Eurasia,Asia,China (CN) / Lao People's Democratic Republic (LA) / Myanmar (MM) / Thailand (TH) / Viet Nam (VN),not endangered,240000,Sino-Tibetan,Tibeto-Burman,Ngwi,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
