"glottocode","society","family","macroarea","continent","vitality","Pop_area","Pop_indiv","EA005","EA015","EA015_2","EA033","EA043","EA202","per_wetqu","n_warm_month","elevSD","lang_rich","phylo_rich","id","Long","Lat"
"gusi1247","Gusii","atla1278","Africa","Africa",1,0.134176765283295,0.00252380952380952,7,"exogamy","yes",1,"unilineal",0.00297466350394893,0.191520467836257,1,0.332952932624413,0.0770949720670391,0.0491803278688525,"1095",35,-1
"gwee1242","Dan","mand1469","Africa","Africa",NA,0.185933347004499,NA,7,NA,NA,1,"unilineal",0.00124966292176124,0.555847953216374,1,0.0483497274583347,0.166480446927374,0.0327868852459016,"1030",8,8
"gwic1235","Kutchin","atha1245","North America","Americas",0.4,0.00000079964562311164,0.000000595238095238095,0,"agamy","no",1,"unilineal",0.000015587505260783,0.0678362573099415,0,0.176993648851208,0.00223463687150838,0,"116",-135,66
"haaa1252","Ha","atla1278","Africa","Africa",1,0.0364095658240868,0.00117857142857143,5,"exogamy","yes",2,"unilineal",0.00249966334363638,0.287719298245614,1,0.20126054091038,0.0324022346368715,0,"974",30,-5
"hade1248","Hadendowa","afro1255","Africa","Africa",NA,0.0202060679534147,NA,2,NA,NA,NA,"unilineal",0.000874662795198693,0.0467836257309941,1,0.315967084691913,0.00670391061452514,0.0163934426229508,"800",36,18
"hadz1240","Hadza","","Africa","Africa",0.6,0.0425474791850164,0.000000952380952380952,0,"agamy","no",0,"non-unilineal",0.00000716250241734457,0.262280701754386,1,0.132191600913947,0.0681564245810056,0.0655737704918033,"975",35,-3
"hais1244","Haisla","waka1280","North America","Americas",0.2,0.0000308750049864779,0.0000000297619047619048,0,"agamy","no",0,"unilineal",0.00000466250157359428,0.1,0,0.0895595856543483,0.0223463687150838,0.0819672131147541,"243",-129,54
"hait1244","Haitians","indo1319","North America","Americas",1,0.0271343676924353,0.00828571428571429,8,"agamy","no",3,"non-unilineal",NA,0.721052631578947,1,0.941299931589039,0.0446927374301676,0.147540983606557,"1077",-72.17,18.41
"halh1238","Khalka","mong1349","Eurasia","Asia",0.6,NA,0.00277380952380952,1,"agamy","no",3,"non-unilineal",NA,0.0894736842105263,0,0.22941142736879,NA,NA,"306",97,46
"hame1242","Hamar","sout2845","Africa","Africa",0.8,0.0801260111243008,0.000050952380952381,4,"exogamy","yes",1,"unilineal",0.000112162537854857,0.173976608187135,1,0.327058999443162,0.0793296089385475,0.131147540983607,"1035",36,5
